location,Type,name
Old Airport Road,Cafes,5
Old Airport Road,Delivery,164
Old Airport Road,Desserts,30
Old Airport Road,Dine-out,142
Old Airport Road,Drinks & nightlife,6
Old Airport Road,Pubs and bars,5
Rajajinagar,Buffet,9
Rajajinagar,Cafes,4
Rajajinagar,Delivery,188
Rajajinagar,Desserts,44
Rajajinagar,Dine-out,179
Rajajinagar,Drinks & nightlife,1
Rajajinagar,Pubs and bars,4
Residency Road,Buffet,14
Residency Road,Cafes,19
Residency Road,Delivery,91
Residency Road,Desserts,28
Residency Road,Dine-out,143
Residency Road,Drinks & nightlife,23
Residency Road,Pubs and bars,14
Richmond Road,Buffet,27
Richmond Road,Cafes,7
Richmond Road,Delivery,101
Richmond Road,Desserts,30
Richmond Road,Dine-out,141
Richmond Road,Drinks & nightlife,6
Richmond Road,Pubs and bars,6
Sarjapur Road,Buffet,10
Sarjapur Road,Cafes,17
Sarjapur Road,Delivery,429
Sarjapur Road,Desserts,76
Sarjapur Road,Dine-out,262
Sarjapur Road,Drinks & nightlife,8
Sarjapur Road,Pubs and bars,10
Ulsoor,Buffet,8
Ulsoor,Cafes,21
Ulsoor,Delivery,195
Ulsoor,Desserts,25
Ulsoor,Dine-out,183
Ulsoor,Drinks & nightlife,10
Ulsoor,Pubs and bars,13
Whitefield,Buffet,17
Whitefield,Cafes,37
Whitefield,Delivery,855
Whitefield,Desserts,113
Whitefield,Dine-out,635
Whitefield,Drinks & nightlife,22
Whitefield,Pubs and bars,17
others,Buffet,75
others,Cafes,153
others,Delivery,2360
others,Desserts,322
others,Dine-out,1797
others,Drinks & nightlife,112
others,Pubs and bars,82
